,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000156.SZ,20181130,9.2,9.22,8.75,8.92,9.34,-0.41999999999999993,-4.4968,177523.82,159860.107
1,000156.SZ,20181129,10.17,10.43,9.25,9.34,9.81,-0.47000000000000064,-4.791,337403.08,333828.707
2,000156.SZ,20181128,8.96,9.81,8.88,9.81,8.92,0.8900000000000006,9.9776,164054.88,155389.579
3,000156.SZ,20181127,9.0,9.16,8.89,8.92,9.01,-0.08999999999999986,-0.9989,72013.75,64882.368
4,000156.SZ,20181126,8.85,9.12,8.8,9.01,8.63,0.379999999999999,4.4032,97877.87,87935.069
5,000156.SZ,20181123,9.22,9.25,8.63,8.63,9.22,-0.5899999999999999,-6.3991,78482.75,70046.207
6,000156.SZ,20181122,9.19,9.29,9.12,9.22,9.22,0.0,0.0,51982.02,47865.685
7,000156.SZ,20181121,9.16,9.3,9.07,9.22,9.21,0.009999999999999787,0.1086,50473.88,46352.114
8,000156.SZ,20181120,9.32,9.48,9.2,9.21,9.39,-0.17999999999999972,-1.9169,66849.1,62131.919
9,000156.SZ,20181119,9.52,9.6,9.29,9.39,9.51,-0.11999999999999922,-1.2618,84208.22,78962.954
10,000156.SZ,20181116,9.09,9.74,9.06,9.51,9.05,0.4599999999999991,5.0829,129197.46,121343.835
11,000156.SZ,20181115,8.83,9.08,8.8,9.05,8.77,0.28000000000000114,3.1927,98362.98,88443.865
12,000156.SZ,20181114,8.67,8.98,8.67,8.77,8.75,0.019999999999999574,0.2286,103353.77,91225.771
13,000156.SZ,20181113,8.41,8.87,8.38,8.75,8.5,0.25,2.9412,127535.4,110926.677
14,000156.SZ,20181112,8.1,8.5,8.07,8.5,8.1,0.40000000000000036,4.9383,74409.34,62042.436
15,000156.SZ,20181109,8.1,8.17,8.01,8.1,8.11,-0.009999999999999787,-0.1233,47347.39,38338.202
16,000156.SZ,20181108,8.27,8.28,8.1,8.11,8.22,-0.11000000000000121,-1.3382,46965.68,38534.632
17,000156.SZ,20181107,8.29,8.33,8.2,8.22,8.27,-0.049999999999998934,-0.6046,47052.62,38941.722
18,000156.SZ,20181106,8.28,8.32,8.18,8.27,8.34,-0.07000000000000028,-0.8393,45513.37,37495.776
19,000156.SZ,20181105,8.28,8.36,8.2,8.34,8.3,0.03999999999999915,0.4819,55351.05,45904.829
20,000156.SZ,20181102,8.19,8.33,8.18,8.3,8.14,0.16000000000000014,1.9656,56828.54,46971.478
21,000156.SZ,20181101,8.18,8.24,8.11,8.14,8.13,0.009999999999999787,0.123,54554.95,44625.289
22,000156.SZ,20181031,8.09,8.17,8.06,8.13,8.08,0.05000000000000071,0.6188,43324.24,35181.664
